description,design_thickness,Fy,area,weight,Ix,Sx,Rx,Iy,Ry,Ixe,Sxe,Mal,Mad,Vag,Vanet,J,Cw,Xo,m,Ro,Beta,Lu,notes
1200S350-541,0.0566,33,1.165,3.96,24.86,4.143,4.62,1.866,1.266,24.61,3.295,65.12,58.95,1377,1377,1.244,54.279,-2.363,1.478,5.341,0.804,88,
1200S350-541,0.0566,50,1.165,3.96,24.86,4.143,4.62,1.866,1.266,24.087,2.787,83.46,75.92,1377,1377,1.244,54.279,-2.363,1.478,5.341,0.804,71.4,
1200S350-68,0.0713,33,1.46,4.97,30.996,5.166,4.608,2.306,1.257,30.996,4.908,96.98,80.83,2771,2771,2.473,67.251,-2.346,1.469,5.322,0.806,87.7,
1200S350-68,0.0713,50,1.46,4.97,30.996,5.166,4.608,2.306,1.257,30.916,4.061,121.59,104.89,2771,2771,2.473,67.251,-2.346,1.469,5.322,0.806,71.2,
1200S350-97,0.1017,33,2.059,7.01,43.269,7.211,4.584,3.159,1.239,43.269,7.071,154.22,138.56,8147,7411,7.098,92.672,-2.31,1.45,5.281,0.809,83,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1200S350-97,0.1017,50,2.059,7.01,43.269,7.211,4.584,3.159,1.239,43.269,6.59,197.31,170.84,8147,7411,7.098,92.672,-2.31,1.45,5.281,0.809,70.8,
1200S350-118,0.1242,33,2.494,8.48,51.992,8.665,4.566,3.741,1.225,51.992,8.665,192.74,181.9,13189,9714,12.821,110.302,-2.284,1.436,5.25,0.811,81.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1200S350-118,0.1242,50,2.494,8.48,51.992,8.665,4.566,3.741,1.225,51.992,8.26,274.07,238.96,14986,11037,12.821,110.302,-2.284,1.436,5.25,0.811,66.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1400S162-541,0.0566,33,1.009,3.43,23.302,3.329,4.805,0.218,0.464,21.103,2.496,49.32,40.86,1177,1177,1.078,8.98,-0.667,0.454,4.873,0.981,36.6,
1400S162-541,0.0566,50,1.009,3.43,23.302,3.329,4.805,0.218,0.464,20.365,2.256,67.54,52.13,1177,1177,1.078,8.98,-0.667,0.454,4.873,0.981,29.7,
1400S162-68,0.0713,33,1.263,4.3,28.952,4.136,4.787,0.262,0.456,27.357,3.357,66.33,57.96,2365,2365,2.141,10.966,-0.654,0.447,4.853,0.982,36.2,
1400S162-68,0.0713,50,1.263,4.3,28.952,4.136,4.787,0.262,0.456,26.375,3.135,93.85,74.56,2365,2365,2.141,10.966,-0.654,0.447,4.853,0.982,29.4,
1400S162-97,0.1017,33,1.779,6.05,40.115,5.731,4.748,0.34,0.437,39.965,5.248,103.71,97.69,6939,6939,6.134,14.651,-0.628,0.433,4.81,0.983,35.3,
1400S162-97,0.1017,50,1.779,6.05,40.115,5.731,4.748,0.34,0.437,38.897,4.915,147.14,127.96,6939,6939,6.134,14.651,-0.628,0.433,4.81,0.983,28.7,
1400S162-118,0.1242,33,2.152,7.32,47.928,6.847,4.719,0.385,0.423,47.928,6.659,131.59,129.07,12745,11287,11.065,17.032,-0.609,0.422,4.777,0.984,34.7,
1400S162-118,0.1242,50,2.152,7.32,47.928,6.847,4.719,0.385,0.423,47.772,6.282,188.07,171.63,12745,11287,11.065,17.032,-0.609,0.422,4.777,0.984,28.1,
1400S200-541,0.0566,33,1.066,3.63,25.951,3.707,4.935,0.406,0.617,23.767,2.866,56.63,48.18,1177,1177,1.138,16.355,-0.946,0.633,5.062,0.965,47,
1400S200-541,0.0566,50,1.066,3.63,25.951,3.707,4.935,0.406,0.617,23.199,2.44,73.05,61.67,1177,1177,1.138,16.355,-0.946,0.633,5.062,0.965,38.2,
1400S200-68,0.0713,33,1.335,4.54,32.284,4.612,4.918,0.494,0.608,30.684,3.824,75.56,67.5,2365,2365,2.262,20.083,-0.932,0.625,5.043,0.966,46.7,
1400S200-68,0.0713,50,1.335,4.54,32.284,4.612,4.918,0.494,0.608,29.797,3.505,104.93,87.1,2365,2365,2.262,20.083,-0.932,0.625,5.043,0.966,37.9,
1400S200-97,0.1017,33,1.881,6.4,44.853,6.408,4.883,0.655,0.59,44.683,5.917,116.93,111.87,6939,6939,6.484,27.156,-0.904,0.609,5.001,0.967,45.9,
1400S200-97,0.1017,50,1.881,6.4,44.853,6.408,4.883,0.655,0.59,43.616,5.58,167.07,146.98,6939,6939,6.484,27.156,-0.904,0.609,5.001,0.967,37.3,
1400S200-118,0.1242,33,2.276,7.75,53.698,7.671,4.857,0.755,0.576,53.698,7.48,147.81,146.71,12745,11287,11.704,31.861,-0.883,0.598,4.97,0.968,45.4,
1400S200-118,0.1242,50,2.276,7.75,53.698,7.671,4.857,0.755,0.576,53.52,7.096,212.47,195.62,12745,11287,11.704,31.861,-0.883,0.598,4.97,0.968,36.8,
1400S250-541,0.0566,33,1.122,3.82,28.702,4.1,5.057,0.707,0.794,26.758,2.927,57.83,52.08,1177,1177,1.198,27.675,-1.272,0.835,5.275,0.942,58.6,
1400S250-541,0.0566,50,1.122,3.82,28.702,4.1,5.057,0.707,0.794,26.141,2.527,75.65,66.58,1177,1177,1.198,27.675,-1.272,0.835,5.275,0.942,47.6,
1400S250-68,0.0713,33,1.406,4.78,35.743,5.106,5.042,0.865,0.784,34.239,4.145,81.9,72.82,2365,2365,2.383,34.118,-1.257,0.827,5.255,0.943,58.3,
1400S250-68,0.0713,50,1.406,4.78,35.743,5.106,5.042,0.865,0.784,33.565,3.55,106.29,93.79,2365,2365,2.383,34.118,-1.257,0.827,5.255,0.943,47.3,
1400S250-97,0.1017,33,1.983,6.75,49.764,7.109,5.01,1.16,0.765,49.579,6.611,130.64,120.65,6939,6939,6.835,46.52,-1.225,0.811,5.214,0.945,57.6,
1400S250-97,0.1017,50,1.983,6.75,49.764,7.109,5.01,1.16,0.765,48.65,6.01,179.95,157.94,6939,6939,6.835,46.52,-1.225,0.811,5.214,0.945,46.7,
1400S250-118,0.1242,33,2.4,8.17,59.676,8.525,4.986,1.352,0.75,59.676,8.33,164.61,158.62,12745,11287,12.342,54.927,-1.203,0.798,5.184,0.946,57.1,
1400S250-118,0.1242,50,2.4,8.17,59.676,8.525,4.986,1.352,0.75,59.504,7.881,235.94,210.42,12745,11287,12.342,54.927,-1.203,0.798,5.184,0.946,46.2,
1400S300-541,0.0566,33,1.179,4.01,31.453,4.493,5.165,1.115,0.972,29.581,3.019,59.66,54.74,1177,1177,1.259,42.69,-1.617,1.046,5.499,0.914,69.9,
1400S300-541,0.0566,50,1.179,4.01,31.453,4.493,5.165,1.115,0.972,27.227,2.58,77.25,69.82,1177,1177,1.259,42.69,-1.617,1.046,5.499,0.914,56.8,
1400S300-68,0.0713,33,1.477,5.03,39.201,5.6,5.151,1.37,0.963,37.902,4.236,83.71,76.51,2365,2365,2.503,52.772,-1.601,1.038,5.48,0.915,69.6,
1400S300-68,0.0713,50,1.477,5.03,39.201,5.6,5.151,1.37,0.963,36.29,3.655,109.42,98.25,2365,2365,2.503,52.772,-1.601,1.038,5.48,0.915,56.5,
1400S300-97,0.1017,33,2.084,7.09,54.675,7.811,5.122,1.854,0.943,54.574,7.035,139.02,126.99,6939,6939,7.186,72.365,-1.568,1.02,5.439,0.917,68.9,
1400S300-97,0.1017,50,2.084,7.09,54.675,7.811,5.122,1.854,0.943,53.226,6.372,190.78,165.45,6939,6939,7.186,72.365,-1.568,1.02,5.439,0.917,55.9,
1400S300-118,0.1242,33,2.525,8.59,65.655,9.379,5.1,2.174,0.928,65.655,9.046,178.75,167.53,12745,11287,12.981,85.812,-1.544,1.008,5.408,0.919,68.5,
1400S300-118,0.1242,50,2.525,8.59,65.655,9.379,5.1,2.174,0.928,65.57,8.427,252.29,220.81,12745,11287,12.981,85.812,-1.544,1.008,5.408,0.919,55.5,
1400S350-541,0.0566,33,1.278,4.35,35.83,5.119,5.295,1.947,1.234,35.659,3.823,75.54,68.8,1177,1177,1.365,76.252,-2.207,1.4,5.868,0.859,87.1,
1400S350-541,0.0566,50,1.278,4.35,35.83,5.119,5.295,1.947,1.234,33.308,3.249,97.27,88.25,1177,1177,1.365,76.252,-2.207,1.4,5.868,0.859,70.7,
1400S350-68,0.0713,33,1.602,5.45,44.707,6.387,5.283,2.406,1.226,44.707,5.7,112.64,94.81,2365,2365,2.715,94.534,-2.19,1.391,5.848,0.86,86.8,
1400S350-68,0.0713,50,1.602,5.45,44.707,6.387,5.283,2.406,1.226,44.707,4.709,141,122.49,2365,2365,2.715,94.534,-2.19,1.391,5.848,0.86,70.4,
1400S350-97,0.1017,33,2.262,7.7,62.507,8.93,5.257,3.296,1.207,62.507,8.762,191.08,163.95,6939,6939,7.799,130.43,-2.156,1.373,5.808,0.862,82,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1400S350-97,0.1017,50,2.262,7.7,62.507,8.93,5.257,3.296,1.207,62.507,8.189,245.18,201.25,6939,6939,7.799,130.43,-2.156,1.373,5.808,0.862,70,
1400S350-118,0.1242,33,2.742,9.33,75.2,10.743,5.237,3.903,1.193,75.2,10.743,238.95,216.66,12745,11287,14.099,155.387,-2.13,1.36,5.778,0.864,80.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1400S350-118,0.1242,50,2.742,9.33,75.2,10.743,5.237,3.903,1.193,75.2,10.26,340.44,282.84,12745,11287,14.099,155.387,-2.13,1.36,5.778,0.864,66.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1600S162-681,0.0713,33,1.406,4.78,40.913,5.114,5.394,0.268,0.436,37.533,3.896,76.99,64.1,2062,2062,2.383,14.816,-0.601,0.415,5.445,0.988,35.2,
1600S162-681,0.0713,50,1.406,4.78,40.913,5.114,5.394,0.268,0.436,35.986,3.624,108.49,81.87,2062,2062,2.383,14.816,-0.601,0.415,5.445,0.988,28.6,
1600S162-97,0.1017,33,1.983,6.75,56.824,7.103,5.354,0.347,0.418,55.563,6.173,121.97,110.13,6043,6043,6.835,19.807,-0.577,0.401,5.401,0.989,34.4,
1600S162-97,0.1017,50,1.983,6.75,56.824,7.103,5.354,0.347,0.418,53.725,5.738,171.79,142.8,6043,6043,6.835,19.807,-0.577,0.401,5.401,0.989,27.9,
1600S162-118,0.1242,33,2.4,8.17,68.014,8.502,5.323,0.393,0.405,68.014,7.92,156.5,147.57,11088,11088,12.342,23.035,-0.559,0.391,5.368,0.989,33.7,
1600S162-118,0.1242,50,2.4,8.17,68.014,8.502,5.323,0.393,0.405,66.535,7.399,221.51,193.72,11088,11088,12.342,23.035,-0.559,0.391,5.368,0.989,27.3,
1600S200-681,0.0713,33,1.477,5.03,45.291,5.661,5.537,0.506,0.585,41.916,4.431,87.56,75.11,2062,2062,2.503,27.155,-0.862,0.584,5.634,0.977,45.7,
1600S200-681,0.0713,50,1.477,5.03,45.291,5.661,5.537,0.506,0.585,40.523,4.045,121.11,96.27,2062,2062,2.503,27.155,-0.862,0.584,5.634,0.977,37.1,
1600S200-97,0.1017,33,2.084,7.09,63.05,7.881,5.5,0.67,0.567,61.757,6.938,137.1,126.78,6043,6043,7.186,36.744,-0.835,0.569,5.592,0.978,44.9,
1600S200-97,0.1017,50,2.084,7.09,63.05,7.881,5.5,0.67,0.567,59.933,6.5,194.61,164.99,6043,6043,7.186,36.744,-0.835,0.569,5.592,0.978,36.4,
1600S200-118,0.1242,33,2.525,8.59,75.601,9.45,5.472,0.773,0.553,75.601,8.859,175.05,168.39,11088,11088,12.981,43.132,-0.815,0.558,5.56,0.979,44.3,
1600S200-118,0.1242,50,2.525,8.59,75.601,9.45,5.472,0.773,0.553,74.084,8.331,249.44,221.86,11088,11088,12.981,43.132,-0.815,0.558,5.56,0.979,35.9,
1600S250-68,0.0713,33,1.549,5.27,49.814,6.227,5.672,0.889,0.758,46.607,4.792,94.7,81.69,2062,2062,2.624,46.23,-1.167,0.778,5.84,0.96,57.3,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
1600S250-68,0.0713,50,1.549,5.27,49.814,6.227,5.672,0.889,0.758,45.55,4.092,122.51,104.63,2062,2062,2.624,46.23,-1.167,0.778,5.84,0.96,46.5,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
1600S250-97,0.1017,33,2.186,7.44,69.476,8.685,5.638,1.192,0.738,68.16,7.728,152.72,137.47,6043,6043,7.536,63.082,-1.138,0.762,5.799,0.962,56.5,
1600S250-97,0.1017,50,2.186,7.44,69.476,8.685,5.638,1.192,0.738,66.577,6.983,209.06,178.6,6043,6043,7.536,63.082,-1.138,0.762,5.799,0.962,45.9,
1600S250-118,0.1242,33,2.649,9.01,83.427,10.428,5.612,1.389,0.724,83.427,9.827,194.19,182.65,11088,11088,13.62,74.524,-1.116,0.75,5.768,0.963,56,
1600S250-118,0.1242,50,2.649,9.01,83.427,10.428,5.612,1.389,0.724,81.923,9.222,276.12,240.07,11088,11088,13.62,74.524,-1.116,0.75,5.768,0.963,45.4,
1600S300-68,0.0713,33,1.62,5.51,54.336,6.792,5.792,1.411,0.933,51.468,4.892,96.68,86.46,2062,2062,2.745,71.608,-1.494,0.981,6.054,0.939,68.7,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
1600S300-68,0.0713,50,1.62,5.51,54.336,6.792,5.792,1.411,0.933,49.107,4.21,126.04,110.54,2062,2062,2.745,71.608,-1.494,0.981,6.054,0.939,55.8,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
1600S300-97,0.1017,33,2.288,7.78,75.903,9.488,5.76,1.909,0.914,74.741,8.203,162.09,145.38,6043,6043,7.887,98.275,-1.463,0.964,6.013,0.941,68,
1600S300-97,0.1017,50,2.288,7.78,75.903,9.488,5.76,1.909,0.914,72.666,7.391,221.28,188.32,6043,6043,7.887,98.275,-1.463,0.964,6.013,0.941,55.1,
1600S300-118,0.1242,33,2.773,9.44,91.253,11.407,5.737,2.239,0.899,91.253,10.637,210.19,193.46,11088,11088,14.258,116.606,-1.439,0.951,5.982,0.942,67.4,
1600S300-118,0.1242,50,2.773,9.44,91.253,11.407,5.737,2.239,0.899,89.913,9.835,294.48,253.24,11088,11088,14.258,116.606,-1.439,0.951,5.982,0.942,54.7,
1600S350-68,0.0713,33,1.745,5.94,61.622,7.703,5.943,2.49,1.195,58.537,6.041,119.38,108.05,2062,2062,2.957,127.37,-2.055,1.322,6.401,0.897,85.8,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
1600S350-68,0.0713,50,1.745,5.94,61.622,7.703,5.943,2.49,1.195,57.437,5.18,155.08,138.99,2062,2062,2.957,127.37,-2.055,1.322,6.401,0.897,69.7,description FOOTNOTE 1 Web height-to-thickness ratio exceeds 200. Web stiffeners are required at all support points and concentrated loads.
1600S350-97,0.1017,33,2.466,8.39,86.27,10.784,5.915,3.41,1.176,84.926,9.771,193.09,176.65,6043,6043,8.501,175.896,-2.022,1.304,6.361,0.899,85.2,
1600S350-97,0.1017,50,2.466,8.39,86.27,10.784,5.915,3.41,1.176,83.691,8.382,250.96,230.33,6043,6043,8.501,175.896,-2.022,1.304,6.361,0.899,69.1,
1600S350-118,0.1242,33,2.99,10.18,103.892,12.987,5.894,4.038,1.162,103.892,12.367,244.38,231.2,11088,11088,15.376,209.692,-1.998,1.291,6.331,0.9,84.8,
1600S350-118,0.1242,50,2.99,10.18,103.892,12.987,5.894,4.038,1.162,102.53,11.305,338.47,304.57,11088,11088,15.376,209.692,-1.998,1.291,6.331,0.9,68.8,
